25-01-2025 16:47:40; utils.py; INFO; Открытие JSON-файла по пути: .\data\operations.json
25-01-2025 16:47:40; utils.py; INFO; Успешное открытие JSON-файла
25-01-2025 16:48:01; masks.py; INFO; Начало работы функции возврата маски номера счета: 41421565395219882431
25-01-2025 16:48:01; masks.py; INFO; Успешный возврат маски номера счета.
25-01-2025 16:48:01; masks.py; INFO; Начало работы функции возврата маски номера счета: 72082042523231456215
25-01-2025 16:48:01; masks.py; INFO; Успешный возврат маски номера счета.
25-01-2025 16:48:01; masks.py; INFO; Начало работы функции возврата маски номера счета: 90424923579946435907
25-01-2025 16:48:01; masks.py; INFO; Успешный возврат маски номера счета.
25-01-2025 16:48:01; masks.py; INFO; Начало работы функции возврата маски номера счета: 96231448929365202391
25-01-2025 16:48:01; masks.py; INFO; Успешный возврат маски номера счета.
25-01-2025 16:48:01; masks.py; INFO; Начало работы функции возврата маски номера счета: 77613226829885488381
25-01-2025 16:48:01; masks.py; INFO; Успешный возврат маски номера счета.
25-01-2025 16:48:01; masks.py; INFO; Начало работы функции возврата маски номера счета: 90817634362091276762
25-01-2025 16:48:01; masks.py; INFO; Успешный возврат маски номера счета.
25-01-2025 16:48:01; masks.py; INFO; Начало работы функции возврата маски номера счета: 12189246980267075758
25-01-2025 16:48:01; masks.py; INFO; Успешный возврат маски номера счета.
25-01-2025 16:48:01; masks.py; INFO; Начало работы функции возврата маски номера счета: 90417871337969064865
25-01-2025 16:48:01; masks.py; INFO; Успешный возврат маски номера счета.
25-01-2025 16:48:01; masks.py; INFO; Начало работы функции возврата маски номера счета: 37653295304860108767
25-01-2025 16:48:01; masks.py; INFO; Успешный возврат маски номера счета.
25-01-2025 16:48:01; masks.py; INFO; Начало работы функции возврата маски номера счета: 35737585785074382265
25-01-2025 16:48:01; masks.py; INFO; Успешный возврат маски номера счета.
